Title,Views,Upload_Date,Likes,Comments,Description
How Powerful is Nepali Army? (3D Animated),485409,2024-09-13,14815,864,"We always wonder how powerful Nepal’s army truly is. In this video, we explore the might, discipline, and strategic role of Nepal’s military, from the rugged high-altitude terrain they defend to their global peacekeeping missions. We aim to uncover the full extent of their capabilities. 

The sheer might of the Nepali Army is brought to life with 3D visualizations, a challenge for our devices but worth the effort to showcase their strength and precision. Stay tuned as we reveal the real power behind Nepal’s army, beyond just numbers, and explore what makes them a force to be reckoned with.

The Two Faces of Nepal Army : https://www.youtube.com/watch?v=N2bErEZRUZ0&ab_channel=TheNepaliComment

Source: https://docs.google.com/document/d/1RAl5fwHCShPH-nKWQiw6P3fPX5qGJIPxNf6Y5pTq55Q/edit?usp=sharing


Birat Cancer Institute's cancer helpline is available 24x7:
+977 9851153692 (Call or WhatsApp) for free consultation with experts 
Free flight for cancer patients
As part of its commitment to supporting patients, Birat Cancer Institute has partnered with Yeti Airlines to launch the Wings of Hope campaign. This initiative provides free two-way flights, including connecting flights, for cancer patients from any part of Nepal to Birat Cancer Institute.
So call now for a consultation with a doctor.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Animation by:
Gajun (https://www.instagram.com/jun_zzz_/)
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:30 Birat Cancer Institute
2:45 Number
4:46 Air 
6:25 Land
7:46 Weapons
8:22 Water 
9:03 Money
10:00 Outro"
Nepal's First Recorded Earthquake #history#nepal #earthquake,313825,2024-09-12,12839,43,
When China gifted Special Great Wall Cigar to Nepal #history#nepal #thenepalicomment#kingbirendra,27575,2024-09-10,1471,6,
Nepal's Hidden Health Crisis: The Infertility Epidemic,161182,2024-09-07,5191,330,"The mental and physical barriers around infertility are often overlooked, but Nepali couples are more vulnerable to this issue than many realize.

A significant factor is the harsh working conditions men endure abroad, particularly in Gulf countries, where long hours in extreme heat take a heavy toll on their health.
Back home, the stigma and pressure on couples who can't conceive further intensify the mental and emotional burden.

The challenges are real and complex. In this video, we delve into the reasons behind infertility and the silent struggles many face.

Special Offer: First 1000 Orders Only Rs. 2699!
Buy you Ultima Marvel Speaker from here : https://ultima.com.np/shop/ultima-marvel-speaker/?attribute_pa_color=black


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by: 
Gajun (https://www.instagram.com/jun_zzz_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
When Maoist buried a Journalist ALIVE 😱,226975,2024-08-20,5786,378,"In this video, we explore one of the most chilling and controversial cases in Nepal's history—the murder of Dekendra Thapa, a journalist, by Maoist forces during the country’s brutal civil war. Kidnapped, beaten, and possibly buried alive, this journalist's tragic death remained shrouded in mystery for years. His body was never found, leaving his family and the nation in agonizing suspense.

However, nearly half a decade later, secret information led to the discovery of his remains, igniting widespread outrage and mass protests across Nepal. The case marked a turning point in the country’s turbulent transition from conflict to peace. By then, the Maoists had abandoned their violent struggle and had become a key force in the Nepali government. Despite their influence, they couldn’t stop the wheels of justice from turning.

This video delves into the legal battle that ensued, one of the first trials to address the war crimes committed during Nepal's decade-long conflict. We examine the significance of this case, its impact on Nepal's fragile peace process, and what it means for the country's future. Join us as we uncover the truth behind the murder that shook a nation and explore the broader implications of this landmark trial.

Source: https://docs.google.com/document/d/1Xyh2yYPpWJzpXMvTjLTdN7FwbNb210eMc-WXq0ebGHc/edit?usp=sharing

Limited 48 Hours Deal on Ultima Circle 2.0 just for TNC Family. Get an Extra Flat 300 Off on Circle 2.0. Book Now: https://bit.ly/3As6d2F

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Edited by: 
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Why Nepal is so POOR at SPORTS?,181084,2024-08-12,6030,538,"Nepal has been participating in the Olympics for decades, but no medal has ever come home. 
Is it politics, lack of resources, players' incompetence, or something deeper? 
This video explores the challenges and whether the dream of winning is out of reach or still possible.

Source: https://docs.google.com/document/d/1uEqcWPFp5Ufji5813ajI7vICeCQJePwszXyAw1GXTFo/edit?usp=sharing

Birat Cancer Institute: https://bmcteachinghospital.com/centres-of-excellence/centre-for-cancer/
Call +977-9851153692 for further counseling. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Nepal's BIGGEST SUCCESS in SPORTS,147262,2024-08-07,5169,135,"Join us as we dive into the remarkable journey of Bidhan Lama, one of Nepal's finest athletes and a Taekwondo legend. Discover how Bidhan Lama rose through the ranks, clinching numerous medals at prestigious international tournaments and making history with a Bronze medal at the 1988 Olympics. Though Taekwondo was a demonstration event that year and his achievement wasn't recorded on Nepal's official medal tally, Bidhan Lama's legacy and contributions to the sport remain unparalleled. This is an inspiring story of determination, skill, and national pride.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Gajun (https://www.instagram.com/jun_zzz_/)
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Ultima Lifestyle: (https://ultima.com.np/)"
Chandra Shumsher: Brutal Dictator or Great Leader?,278810,2024-08-01,7191,196,"Explore the complex legacy of Chandra Shumsher Jang Bahadur Rana, the influential Prime Minister of Nepal during the early 20th century. Was he a visionary leader or a tyrant? In this video, we delve into his pivotal role in modernizing Nepal, securing its status as a sovereign nation with the help of Britain, and the construction of significant infrastructure. However, his tenure was also marked by strict policies that stifled education and freedom of speech and served the interests of the Rana family. Join us as we analyze the duality of his rule and its impact on Nepal's history. Don't forget to like, comment, and subscribe for more insights into Nepal's rich history and influential figures!


Sources: https://docs.google.com/document/d/1kShwB6jY_LbawXxjd1TI9rR_WrsVMy7ZIxzj1Sgfprc/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Nepali Game of Thrones?,245345,2024-07-09,7440,421,"Nepali politics is a never-ending saga of power struggles and frequent government changes. In this video, we delve into the chaotic political landscape of Nepal, exploring the relentless game of thrones between rival parties. Discover how constant leadership shifts, political infighting, and short-lived coalitions have created a state of perpetual instability. We'll take you behind the scenes to understand the tactics, betrayals, and alliances that define Nepali politics. Join us for a candid look at why the political scene in Nepal is so turbulent and why it seems impossible for any government to maintain stability for long.

Ultima Lifestyles: https://ultima.com.np/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Himal Joshi (https://www.instagram.com/drew.justinn_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
"Nepal Tibet War, Explained",172949,2024-07-03,4876,717,"Join us as we delve into the complex and often controversial history of Nepal-China relations. Spanning over a thousand years, this story is marked by periods of both alliance and betrayal, cooperation and conflict. From ancient trade routes and cultural exchanges to modern-day political maneuvering, the relationship between these two nations has shaped the region in profound ways.


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)


Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Himal Joshi (https://www.instagram.com/drew.justinn_/)


Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
The FUTURE of The Nepali Comment,52812,2024-07-03,3585,184,An important decision for The Nepali Comment
The Politics of Chuche Naksa,235879,2024-06-15,7013,547,"In this revealing video, we delve into the contentious release of Nepal's new map, Chuche Naksa, which was ratified by a full majority in the parliament in 2020. This map, asserting Nepal's claim over Lipulekh, Limpiyadhura, and Kalapani, challenges decades of Indian control over these territories—land that historically belongs to Nepal.

Despite the bold declarations and political grandstanding by Nepali politicians, the issue remains unresolved, exposing a troubling hypocrisy. These leaders leverage the border dispute for political gain and to maintain power, but their efforts in diplomatic negotiations with India are conspicuously absent. Is this just political rhetoric, or are they truly committed to reclaiming Nepal's land?

Join us as we uncover the political maneuvering behind the Chuche Naksa, scrutinize the speeches versus the actions of Nepali politicians, and discuss the implications for Nepal-India relations.

Source: https://docs.google.com/document/d/1V3xijg-RaydFYTGbo0kI4DuHnfqK6KOENgI9mRm55Q8/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Parash Bikram Khadka (https://instagram.com/parashbikramk/)
Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Worldlink Megaboost offer: 

Here's how it works:
1. Go to myWorldLink app
2. Click on the Banner of MEGA BOOST (the Banner will be displayed based on the eligibility of the username )
3. Choose your desired days to boost your speed. ( 2 days, 5 days, 15 days or for your remaining days)
4. Now make your payment via Khalti
5. After successful payment, your speed now doubles as per your selection) 

Don’t miss out on this incredible opportunity to supercharge your internet experience. Contact WorldLink Communications today to activate MEGA BOOST and enjoy the benefits of high-speed internet instantly!"
Why Kathmandu needs METRO TRAIN,354952,2024-06-10,9951,687,"In this video, we dive deep into Kathmandu's traffic congestion nightmare and its severe pollution and health crisis. Residents lose valuable time in traffic daily, with public transportation proving too slow and sometimes even dangerous. With the number of private vehicles on the rise each year, the situation seems to be spiraling out of control.

Could a Metro train be the solution Kathmandu desperately needs? 

Special thanks to Dr. BL Amatya Sir for his input.

Source: https://docs.google.com/document/d/1Es7xMqx-luRDPgp3tZmutNV9qpg5tffwU3o63bDL9ao/edit?usp=sharing

Pathao Nepal: https://pathao.com/np/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Bishwa Rai (https://www.instagram.com/bishwa546/)

Camera: https://www.instagram.com/baddas_production/

Edited by: 
Dungrey (https://www.instagram.com/khadka__ajay/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:56 Problem with the current situation 
3:28 Sponsor segment 
4:23 How can metro solve traffic
5:05 Where and how to build metro
8:00 Currently existing proposals
10:55 Is metro the only option? 
13:15 BRT 
14:36 Conclusion"
